timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785317133137,198,TR - Select Category-297,200,OK,Scenario - Place Order 4-9,text,true,,1595,484,15,24,https://api.demoblaze.com/bycat,198,0,0
1785317127515,384,TC - Select Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario - Place Order 4-9,,true,,2044,984,15,24,null,383,5437,0
1785317133305,175,TR - Login-182,200,OK,Scenario - Place Order 4-14,text,true,,449,500,15,24,https://api.demoblaze.com/check,175,0,0
1785317133447,187,TR - Login-166,200,OK,Scenario - Login 3-14,text,true,,5025,515,9,24,https://www.demoblaze.com/index.html,182,0,0
1785317133920,200,TR - Login-165,200,OK,Scenario - Login 3-15,text,true,,632,523,9,24,https://api.demoblaze.com/login,200,0,0
1785317134096,185,TR - Select Product-320,200,OK,Scenario - Place Order 4-4,text,true,,497,471,15,24,https://api.demoblaze.com/check,185,0,0
1785317134111,187,TR - Login-166,200,OK,Scenario - Place Order 4-15,text,true,,5047,515,15,24,https://www.demoblaze.com/index.html,185,0,0
1785317134511,70,TR - Select Product-300,200,OK,Scenario - Place Order 4-6,text,true,,5474,522,15,24,https://www.demoblaze.com/prod.html?idp_=11,68,0,0
1785317134427,189,TR - Select Category-297,200,OK,Scenario - Place Order 4-8,text,true,,1418,484,15,24,https://api.demoblaze.com/bycat,189,0,0
1785317126644,388,TC - Select Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario - Place Order 4-8,,true,,1867,984,15,24,null,388,7584,0
1785317134508,183,TR - Select Category-296,200,OK,Scenario - Place Order 4-10,text,true,,449,500,15,24,https://api.demoblaze.com/bycat,183,0,0
1785317134744,193,TR - Select Product-320,200,OK,Scenario - Place Order 4-3,text,true,,527,471,15,25,https://api.demoblaze.com/check,193,0,0
1785317134811,188,TR - Login-182,200,OK,Scenario - Place Order 4-13,text,true,,449,500,15,25,https://api.demoblaze.com/check,188,0,0
1785317134895,171,TR - Login-181,200,OK,Scenario - Login 3-12,text,true,,648,458,10,25,https://www.demoblaze.com/config.json,171,0,0
1785317134839,309,TR - Open Home Page 1,200,OK,Scenario - Login 3-19,text,true,,4850,515,10,25,https://www.demoblaze.com/index.html,306,0,126
1785317135148,63,TR - Open Home Page 2,200,OK,Scenario - Login 3-19,text,true,,459,458,10,25,https://www.demoblaze.com/config.json,62,0,0
1785317135217,172,TR - Login-164,200,OK,Scenario - Login 3-18,text,true,,449,500,10,25,https://api.demoblaze.com/login,172,0,0
1785317135300,205,TR - Login-165,200,OK,Scenario - Login 3-17,text,true,,502,523,10,25,https://api.demoblaze.com/login,205,0,0
1785317135211,325,TR - Open Home Page 3,200,OK,Scenario - Login 3-19,text,true,,1624,400,10,25,https://api.demoblaze.com/entries,325,0,121
1785317134837,697,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Login 3-19,,true,,6933,1373,10,25,null,693,2,247
1785317135874,74,TR - Select Product-300,200,OK,Scenario - Place Order 4-8,text,true,,5284,522,15,25,https://www.demoblaze.com/prod.html?idp_=11,66,0,0
1785317135975,186,TR - Select Category-297,200,OK,Scenario - Place Order 4-10,text,true,,1402,484,15,25,https://api.demoblaze.com/bycat,186,0,0
1785317129846,369,TC - Select Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario - Place Order 4-10,,true,,1851,984,15,25,null,369,5947,0
1785317135989,210,TR - Login-183,200,OK,Scenario - Login 3-11,text,true,,1634,400,10,25,https://api.demoblaze.com/entries,210,0,0
1785317136088,174,TR - Select Product-314,200,OK,Scenario - Place Order 4-7,text,true,,469,465,15,25,https://www.demoblaze.com/config.json,174,0,0
1785317136056,207,TR - Login-183,200,OK,Scenario - Place Order 4-14,text,true,,1496,400,15,25,https://api.demoblaze.com/entries,207,0,0
1785317136234,190,TR - Login-182,200,OK,Scenario - Login 3-13,text,true,,449,500,10,25,https://api.demoblaze.com/check,190,0,0
1785317136439,69,TR - Select Product-314,200,OK,Scenario - Place Order 4-5,text,true,,656,465,15,25,https://www.demoblaze.com/config.json,68,0,0
1785317136573,206,TR - Login-183,200,OK,Scenario - Login 3-10,text,true,,1621,400,10,25,https://api.demoblaze.com/entries,205,0,0
1785317136607,175,TR - Login-182,200,OK,Scenario - Login 3-12,text,true,,449,500,10,25,https://api.demoblaze.com/check,175,0,0
1785317136610,189,TR - Select Product-319,200,OK,Scenario - Place Order 4-3,text,true,,823,461,15,25,https://api.demoblaze.com/view,188,0,0
1785317119212,1111,TC - Select Product,200,"Number of samples in transaction : 6, number of failing samples : 0",Scenario - Place Order 4-3,,true,,8101,2918,15,25,null,1108,16476,0
1785317136871,64,TR - Select Product-314,200,OK,Scenario - Place Order 4-1,text,true,,599,465,15,25,https://www.demoblaze.com/config.json,64,0,0
1785317136957,172,TR - Select Product-314,200,OK,Scenario - Place Order 4-6,text,true,,542,465,15,25,https://www.demoblaze.com/config.json,171,0,0
1785317137053,185,TR - Select Product-317,200,OK,Scenario - Place Order 4-2,text,true,,449,499,15,25,https://api.demoblaze.com/view,185,0,0
1785317137112,190,TR - Select Category-297,200,OK,Scenario - Place Order 4-11,text,true,,1516,484,15,25,https://api.demoblaze.com/bycat,189,0,0
1785317130813,362,TC - Select Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario - Place Order 4-11,,true,,1965,984,15,25,null,361,6127,0
